blz,bankname,lkz
24191015,Volksbank Stade-Cuxhaven,DE
24191255,Volksbank Bremervörde,DE
25000000,Bundesbank,DE
25010030,Postbank,DE
25010111,SEB,DE
25010424,Aareal Bank,DE
25010600,Deutsche Hypothekenbank,DE
25010700,Berlin-Hannoversche Hypothekenbank,DE
25010900,Calenberger Kreditverein,DE
25020200,BHF-BANK,DE
25020600,Santander Consumer Bank,DE
25020700,Hanseatic Bank,DE
25030000,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
25040060,Commerzbank CC,DE
25040061,Commerzbank CC,DE
25040066,Commerzbank,DE
25050000,Norddeutsche Landesbank Girozentrale,DE
25050055,ZVA Norddeutsche Landesbank SH,DE
25050180,Sparkasse Hannover,DE
25050299,Sparkasse Hannover -alt-,DE
25055500,LBS-Norddeutsche Landesbausparkasse,DE
25060000,DZ BANK,DE
25060180,Bankhaus Hallbaum,DE
25060701,Evangelische Kreditgenossenschaft -Filiale Hannover-,DE
25069168,Volks- und Raiffeisenbank Leinebergland,DE
25069262,Raiffeisen-Volksbank Neustadt,DE
25069270,Volksbank Aller-Oker,DE
25069370,Volksbank Vechelde-Wendeburg,DE
25069384,Volksbank Lehre -alt-,DE
25069503,Volksbank Diepholz-Barnstorf,DE
25069830,Volksbank Derental -alt-,DE
25070024,Deutsche Bank Privat und Geschäftskunden,DE
25070066,Deutsche Bank,DE
25070070,Deutsche Bank,DE
25070077,Deutsche Bank,DE
25070084,Deutsche Bank,DE
25070086,Deutsche Bank,DE
25080020,Commerzbank vormals Dresdner Bank,DE
25080085,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 2",DE
25089220,Commerzbank vormals Dresdner Bank ITGK,DE
25090300,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,DE
25090500,Sparda-Bank Hannover,DE
25090608,apoBank,DE
25090900,PSD Bank,DE
25120510,Bank für Sozialwirtschaft,DE
25120960,UniCredit Bank - HypoVereinsbank (ehem. Hypo),DE
25151270,Stadtsparkasse Barsinghausen,DE
25151371,Stadtsparkasse Burgdorf,DE
